Datetime,MEDIAN Babs(1/Mm),MEAN Babs(1/Mm)
2021-12-14 16:31:31+0200,916.265923849744,938.589907837748
2021-12-14 16:31:36+0200,970.16467767743,946.101747516464
2021-12-14 16:31:41+0200,937.62465679306,953.172175329728
2021-12-14 16:31:46+0200,947.033558156636,955.678128551793
2021-12-14 16:31:51+0200,962.252380220216,949.773191112796
2021-12-14 16:31:56+0200,990.260305447001,936.184718385349
2021-12-14 16:32:01+0200,975.888516568187,920.726593298693
2021-12-14 16:32:06+0200,918.629841619236,907.080880478686
2021-12-14 16:32:11+0200,898.761322171532,901.524872714405
2021-12-14 16:32:16+0200,893.010711977774,901.009195784176
2021-12-14 16:32:21+0200,898.727561993127,903.59878653138
2021-12-14 16:32:26+0200,910.199973855383,907.154539219611
2021-12-14 16:32:31+0200,893.686454949821,904.061930547517
2021-12-14 16:32:36+0200,936.840130034449,894.586854585874
2021-12-14 16:32:41+0200,928.714251094224,883.501295011875
2021-12-14 16:32:46+0200,867.53770989962,878.16670539545
2021-12-14 16:32:51+0200,859.932921824815,879.585021813488
2021-12-14 16:32:56+0200,867.46690409204,886.445782026306
2021-12-14 16:33:01+0200,913.456422356098,895.053946747873
2021-12-14 16:33:06+0200,906.919392381481,901.917832337721
2021-12-14 16:33:11+0200,918.068441392746,908.672121979636
2021-12-14 16:33:16+0200,911.251945549336,915.365912358661
2021-12-14 16:33:21+0200,935.199487155658,920.209024784416
2021-12-14 16:33:26+0200,919.207615852417,922.481231787869
2021-12-14 16:33:31+0200,931.597675684083,922.380607088158
2021-12-14 16:33:36+0200,936.700877661351,919.544863963942
2021-12-14 16:33:41+0200,933.856332462615,913.769145466173
2021-12-14 16:33:46+0200,929.625001979547,910.416649191408
2021-12-14 16:33:51+0200,907.63854446241,910.86377765226
2021-12-14 16:33:56+0200,896.962421952454,913.093363535133
2021-12-14 16:34:01+0200,942.602000253629,917.124535578711
2021-12-14 16:34:06+0200,931.962361460033,919.063460597413
2021-12-14 16:34:11+0200,938.511409573098,919.840485480352
2021-12-14 16:34:16+0200,916.76192901113,920.268372323655
2021-12-14 16:34:21+0200,929.634007039814,921.105891042538
2021-12-14 16:34:26+0200,930.13990895221,922.800406411933
2021-12-14 16:34:31+0200,912.802724498369,922.938935401264
2021-12-14 16:34:36+0200,911.600830923689,920.535326701733
2021-12-14 16:34:41+0200,936.702122303515,914.827455902424
2021-12-14 16:34:46+0200,923.323024618821,905.468836847534
2021-12-14 16:34:51+0200,921.630225744337,895.63720658277
2021-12-14 16:34:56+0200,882.506870316303,890.898142397481
2021-12-14 16:35:01+0200,884.499085864983,896.397606258162
2021-12-14 16:35:06+0200,891.699120341886,910.18248643455
2021-12-14 16:35:11+0200,885.163219022301,926.454753374615
2021-12-14 16:35:16+0200,941.452457976064,937.045462265593
2021-12-14 16:35:21+0200,942.696367335561,934.75751926164
2021-12-14 16:35:26+0200,964.56157499744,921.329789602636
2021-12-14 16:35:31+0200,912.248191785346,908.502877528173
2021-12-14 16:35:36+0200,896.536872254394,903.704559808126
2021-12-14 16:35:41+0200,877.805484947977,909.148761145799
2021-12-14 16:35:46+0200,880.177586466259,918.893687225562
2021-12-14 16:35:51+0200,926.112891760366,924.69764892736
2021-12-14 16:35:56+0200,945.608020670207,925.703116892578
2021-12-14 16:36:01+0200,927.754048288853,927.473193667671
2021-12-14 16:36:06+0200,925.34055239688,933.967167869748
2021-12-14 16:36:11+0200,902.084966312096,942.761057940758
2021-12-14 16:36:16+0200,954.116296604814,948.566023054013
2021-12-14 16:36:21+0200,971.72920934539,948.245168116751
2021-12-14 16:36:26+0200,968.064507682616,945.250902449438
2021-12-14 16:36:31+0200,914.887052090759,946.297989128682
2021-12-14 16:36:36+0200,938.306364238416,959.066361155408
2021-12-14 16:36:41+0200,937.130960433687,976.076957875442
2021-12-14 16:36:46+0200,985.765797322279,988.02183617412
2021-12-14 16:36:51+0200,1002.48705900352,989.367275633996
2021-12-14 16:36:56+0200,1019.31335862094,976.889767188643
2021-12-14 16:37:01+0200,1004.65782171384,957.889846815823
2021-12-14 16:37:06+0200,963.564353699928,942.269439989311
2021-12-14 16:37:11+0200,941.308207863463,933.86683516987
2021-12-14 16:37:16+0200,906.39799803671,934.841993362367
2021-12-14 16:37:21+0200,941.694137141587,946.608496715157
2021-12-14 16:37:26+0200,917.705415118281,965.643733937095
2021-12-14 16:37:31+0200,976.050540001685,989.89611482389
2021-12-14 16:37:36+0200,982.805975340246,1012.31833905758
2021-12-14 16:37:41+0200,998.860492186234,1030.79324636606
2021-12-14 16:37:46+0200,1040.39987928907,1045.13114898308
2021-12-14 16:37:51+0200,1040.25226651104,1053.56691203778
2021-12-14 16:37:56+0200,1080.8019762417,1058.56967454853
2021-12-14 16:38:01+0200,1066.33741999169,1058.34130053887
2021-12-14 16:38:06+0200,1062.04840889126,1054.81376511781
2021-12-14 16:38:11+0200,1045.07676522232,1050.78920366829
2021-12-14 16:38:16+0200,1033.34690001075,1049.16698084259
2021-12-14 16:38:21+0200,1041.12814088488,1049.66274459223
2021-12-14 16:38:26+0200,1066.84306205564,1055.25253580966
2021-12-14 16:38:31+0200,1065.49709079435,1067.06837624351
2021-12-14 16:38:36+0200,1064.36086568153,915.804375279018
2021-12-14 16:43:46+0200,1089.00374401469,1066.93462456676
2021-12-14 16:43:51+0200,1064.91834069805,1061.00850636275
2021-12-14 16:43:56+0200,1035.12250820405,1060.75716286328
2021-12-14 16:44:01+0200,1044.11358541565,1066.26589517077
2021-12-14 16:44:06+0200,1040.98909176315,1073.92809354338
2021-12-14 16:44:11+0200,1100.51659864668,1080.85921888724
2021-12-14 16:44:16+0200,1073.81419552314,1080.86669072376
2021-12-14 16:44:21+0200,1078.29622418476,1075.74882839893
2021-12-14 16:44:26+0200,1097.61997262978,1071.26669758568
